LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2016-01,99.35622,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2016-02,99.32286,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2016-03,99.27293,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2016-04,99.20667,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2016-05,99.15582,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2016-06,99.1713,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2016-07,99.29546,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2016-08,99.46806,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2016-09,99.61165,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2016-10,99.6684,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2016-11,99.66618,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2016-12,99.63546,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2017-01,99.58546,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2017-02,99.50864,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2017-03,99.37827,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2017-04,99.17295,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2017-05,98.95457,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2017-06,98.81171,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2017-07,98.81614,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2017-08,98.90373,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2017-09,99.00103,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2017-10,99.06859,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2017-11,99.13464,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2017-12,99.25368,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2018-01,99.46669,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2018-02,99.70821,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2018-03,99.88146,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2018-04,99.90491,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2018-05,99.82713,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2018-06,99.69855,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2018-07,99.54453,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2018-08,99.38914,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2018-09,99.25204,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2018-10,99.14671,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2018-11,99.06047,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2018-12,98.98116,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2019-01,98.90487,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2019-02,98.83662,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2019-03,98.78812,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2019-04,98.76749,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2019-05,98.7491,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2019-06,98.69421,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2019-07,98.56943,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2019-08,98.40156,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2019-09,98.21905,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2016-01,99.74286,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2016-02,99.60989,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2016-03,100.1331,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2016-04,100.6583,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2016-05,100.7832,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2016-06,100.7703,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2016-07,100.957,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2016-08,101.186,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2016-09,101.3873,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2016-10,101.3652,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2016-11,101.1942,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2016-12,101.1467,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2017-01,101.1854,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2017-02,100.935,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2017-03,100.6507,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2017-04,100.6236,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2017-05,100.858,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2017-06,101.1153,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2017-07,100.9901,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2017-08,101.0492,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2017-09,101.3297,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2017-10,101.6996,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2017-11,102.0145,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2017-12,101.8033,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2018-01,101.4417,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2018-02,101.266,
RUS,BCI,AMPLITUD,LTRENDIDX,M,2018-03,101.4584,
