LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-01,99.84309,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-02,99.68271,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-03,99.55653,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-04,99.55856,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-05,99.64218,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-06,99.64816,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-07,99.64223,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-08,99.6684,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-09,99.75498,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-10,99.85822,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-11,99.97131,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-12,100.0212,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-01,99.99608,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-02,99.95578,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-03,99.98159,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-04,100.1263,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-05,100.3735,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-06,100.6279,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-07,100.634,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-08,100.4887,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-09,100.3644,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-10,100.3684,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-11,100.4868,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-12,100.5507,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-01,100.4931,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-02,100.3611,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-03,100.2522,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-04,100.1315,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-05,100.0149,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-06,99.90965,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-07,99.84096,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-08,99.71612,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-09,99.52885,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-10,99.36372,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-11,99.13216,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-12,98.99333,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-01,99.13435,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-02,99.36768,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-03,99.54665,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-04,99.663,
