LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Time,Inflow
USA,FDIFLOW,INWARD,MLN_USD,Q,2016-Q1,150372
USA,FDIFLOW,INWARD,MLN_USD,Q,2016-Q2,165290
USA,FDIFLOW,INWARD,MLN_USD,Q,2016-Q3,112804
USA,FDIFLOW,INWARD,MLN_USD,Q,2016-Q4,57556
USA,FDIFLOW,INWARD,MLN_USD,Q,2017-Q1,93236
USA,FDIFLOW,INWARD,MLN_USD,Q,2017-Q2,89264
USA,FDIFLOW,INWARD,MLN_USD,Q,2017-Q3,68300
USA,FDIFLOW,INWARD,MLN_USD,Q,2017-Q4,41098
USA,FDIFLOW,INWARD,MLN_USD,Q,2018-Q1,56522
USA,FDIFLOW,INWARD,MLN_USD,Q,2018-Q2,4310
USA,FDIFLOW,INWARD,MLN_USD,Q,2018-Q3,127624
USA,FDIFLOW,INWARD,MLN_USD,Q,2018-Q4,79985
