LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Time,Outflow
USA,FDIFLOW,OUTWARD,MLN_USD,Q,2016-Q1,80658
USA,FDIFLOW,OUTWARD,MLN_USD,Q,2016-Q2,92252
USA,FDIFLOW,OUTWARD,MLN_USD,Q,2016-Q3,90745
USA,FDIFLOW,OUTWARD,MLN_USD,Q,2016-Q4,46246
USA,FDIFLOW,OUTWARD,MLN_USD,Q,2017-Q1,131729
USA,FDIFLOW,OUTWARD,MLN_USD,Q,2017-Q2,48433
USA,FDIFLOW,OUTWARD,MLN_USD,Q,2017-Q3,75556
USA,FDIFLOW,OUTWARD,MLN_USD,Q,2017-Q4,66103
USA,FDIFLOW,OUTWARD,MLN_USD,Q,2018-Q1,-42673
USA,FDIFLOW,OUTWARD,MLN_USD,Q,2018-Q2,-115376
USA,FDIFLOW,OUTWARD,MLN_USD,Q,2018-Q3,61645
USA,FDIFLOW,OUTWARD,MLN_USD,Q,2018-Q4,27999
