source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,CHINA HAS ALREADY BEGUN AGRICULTURAL PURCHASES FROM OUR GREAT PATRIOT FARMERS &amp; RANCHERS!,10/13/19,11968,51501,FALSE,1.18E+18
Twitter for iPhone,My deal with China is that they will IMMEDIATELY start buying very large quantities of our Agricultural Product not wait until the deal is signed over the next 3 or 4 weeks. THEY HAVE ALREADY STARTED! Likewise financial services and other deal aspects start preparing....,10/13/19,9357,35514,FALSE,1.18E+18
Twitter for iPhone,....I agreed not to increase Tariffs from 25% to 30% on October 15th. They will remain at 25%. The relationship with China is very good. We will finish out the large Phase One part of the deal then head directly into Phase Two. The Phase One Deal can be finalized &amp; signed soon!,10/13/19,7115,27482,FALSE,1.18E+18
Twitter for iPhone,The deal I just made with China is by far the greatest and biggest deal ever made for our Great Patriot Farmers in the history of our Country. In fact there is a question as to whether or not this much product can be produced? Our farmers will figure it out. Thank you China!,10/12/19,24899,105423,FALSE,1.18E+18
Twitter for iPhone,So funny to watch Steve Kerr grovel and pander when asked a simple question about China. He chocked and looks weak and pathetic. Don’t want him at the White House!,10/12/19,21339,106447,FALSE,1.18E+18
Twitter for iPhone,RT @MariaBartiromo: USMCA passage China deal should be ‘a one-two punch’: Rep. Tom Reed https://t.co/WcBsEjjir3 @MorningsMaria @FoxBusiness,10/11/19,3862,0,TRUE,1.18E+18
Twitter for iPhone,One of the great things about the China Deal is the fact that for various reasons we do not have to go through the very long and politically complex Congressional Approval Process. When the deal is fully negotiated I sign it myself on behalf of our Country. Fast and Clean!,10/11/19,16441,76496,FALSE,1.18E+18
Twitter for iPhone,Good things are happening at China Trade Talk Meeting. Warmer feelings than in recent past more like the Old Days. I will be meeting with the Vice Premier today. All would like to see something significant happen!,10/11/19,17305,86850,FALSE,1.18E+18
Twitter for iPhone,Big day of negotiations with China. They want to make a deal but do I? I meet with the Vice Premier tomorrow at The White House.,10/10/19,19121,98679,FALSE,1.18E+18
Twitter for iPhone,RT @ABCPolitics: President Trump criticizes Steve Kerr and Gregg Popovich — both vocal critics of Trump — when asked about China putting pr…,10/10/19,12701,0,TRUE,1.18E+18
