date,sp500,gdp,gnp,gnp-gdp,oil,dow,gold,coffee,soy,2 YR,10 YR,30 YR,bci,cci,china tweets per month,trade tweet per month
1/1/2016,1918.597895,18424.283,18625.787,201.504,31.68315789,16305.25211,1097.375,146.3215789,323.2043538,0.76,1.94,2.75,99.03783,100.5849,1,0
2/1/2016,1904.4185,18495.273,18700.85133,205.5783333,30.323,16299.8985,1199.911905,148.94,320.1294863,0.78,1.74,2.61,99.24594,100.5482,0,1
3/1/2016,2021.954091,18566.263,18775.91567,209.6526667,37.54636364,17302.14273,1246.338095,156.9372727,326.9354216,0.73,1.78,2.61,99.47628,100.509,0,2
4/1/2016,2075.535238,18637.253,18850.98,213.727,40.7552381,17844.36571,1242.261905,154.2019048,353.8024628,0.77,1.83,2.66,99.59814,100.5307,0,3
5/1/2016,2065.550952,18693.74967,18904.48033,210.7306667,46.71238095,17692.32,1259.3975,155.4042857,388.5121365,0.87,1.84,2.64,99.7036,100.651,5,2
6/1/2016,2083.891364,18750.24633,18957.98067,207.7343333,48.75727273,17754.86773,1276.404545,165.8490909,421.2289417,0.58,1.49,2.3,99.7765,100.6293,2,9
7/1/2016,2148.902,18806.743,19011.481,204.738,44.6515,18341.1825,1337.32619,172.3525,390.4018125,0.67,1.46,2.18,99.69157,100.4851,0,3
8/1/2016,2177.482174,18868.45633,19089.18233,220.726,44.72434783,18495.18739,1341.088636,170.3421739,370.3165878,0.8,1.58,2.23,99.53907,100.381,0,1
9/1/2016,2157.690952,18930.16967,19166.88367,236.714,45.18238095,18267.40286,1326.029545,178.0709524,355.9021028,0.77,1.6,2.32,99.58414,100.3621,1,2
10/1/2016,2143.020952,18991.883,19244.585,252.702,49.7752381,18184.54667,1266.569048,178.6242857,358.3866768,0.86,1.84,2.58,99.74983,100.4377,0,1
11/1/2016,2164.985714,19058.06567,19304.26133,246.1956667,45.66095238,18697.32667,1235.979545,185.1275,368.3730895,1.11,2.37,3.02,100.0114,100.7613,1,1
12/1/2016,2246.629048,19124.24833,19363.93767,239.6893333,51.97047619,19712.42381,1151.402778,162.5576471,375.2887788,1.2,2.45,3.06,100.3142,101.0931,4,0
1/1/2017,2275.116,19190.431,19423.614,233.183,52.504,19908.1525,1192.616667,167.8275,379.5899788,1.19,2.45,3.05,100.5844,101.2387,1,3
2/1/2017,2329.910526,19245.837,19473.45167,227.6146667,53.46842105,20424.14421,1234.3575,165.5584211,380.872624,1.22,2.36,2.97,100.7397,101.2266,1,0
3/1/2017,2366.822174,19301.243,19523.28933,222.0463333,49.32782609,20823.05783,1231.093478,159.3886364,366.0950562,1.27,2.4,3.02,100.6914,101.1966,2,1
4/1/2017,2359.309474,19356.649,19573.127,216.478,51.06052632,20684.69368,1265.627778,155.9005263,347.8613104,1.28,2.29,2.96,100.5446,101.1577,8,4
5/1/2017,2395.345909,19441.66733,19671.384,229.7166667,48.47636364,20936.81136,1245.004762,151.1786364,350.1799873,1.28,2.21,2.87,100.542,101.0877,2,3
6/1/2017,2433.985455,19526.68567,19769.641,242.9553333,45.17772727,21317.79545,1260.256818,144.0990909,339.7289099,1.38,2.31,2.84,100.7085,100.9837,1,2
7/1/2017,2454.1025,19611.704,19867.898,256.194,46.63052632,21581.251,1236.221429,151.69,365.4528402,1.34,2.3,2.89,100.8747,100.9434,5,10
8/1/2017,2456.223043,19714.106,19974.01233,259.9063333,48.03695652,21914.07696,1282.888095,154.5921739,345.4107494,1.33,2.12,2.73,101.1174,101.0381,1,5
9/1/2017,2492.841,19816.508,20080.12667,263.6186667,49.822,22173.414,1314.978571,149.715,353.8602029,1.47,2.33,2.86,101.2791,101.1569,2,2
10/1/2017,2556.997273,19918.91,20186.241,267.331,51.57772727,23036.23727,1279.513636,143.1218182,358.2761275,1.6,2.38,2.88,101.2488,101.3039,2,2
11/1/2017,2593.605714,20000.32633,20272.20967,271.8833333,56.63857143,23557.92952,1282.284091,144.24,361.4092835,1.78,2.42,2.83,101.2184,101.2842,18,6
12/1/2017,2664.3405,20081.74267,20358.17833,276.4356667,57.8815,24545.384,1261.255882,141.8328571,357.153357,1.89,2.4,2.74,101.2737,101.2031,1,0
1/1/2018,2789.80381,20163.159,20444.147,280.988,63.69857143,25804.01762,1331.665909,144.1542857,356.868812,2.14,2.72,2.95,101.3207,101.2319,0,2
2/1/2018,2705.155263,20278.83167,20554.703,275.8713333,62.22947368,24981.54526,1331.525,142.9268421,371.2322374,2.25,2.87,3.13,101.3432,101.3885,2,0
3/1/2018,2702.77381,20394.50433,20665.259,270.7546667,62.7247619,24582.17048,1324.657143,140.2019048,381.8938963,2.27,2.74,2.97,101.2312,101.4859,4,20
4/1/2018,2653.625238,20510.177,20775.815,265.638,66.25380952,24304.21286,1334.74,140.3685714,381.2683785,2.49,2.95,3.11,101.1134,101.4369,12,13
5/1/2018,2701.493636,20590.03533,20857.913,267.8776667,69.97818182,24572.53227,1303.02619,141.6786364,374.8483713,2.4,2.83,3,101.1557,101.3543,20,16
6/1/2018,2754.352857,20669.89367,20940.011,270.1173333,67.87333333,24790.1081,1281.566667,139.8328571,339.9579615,2.52,2.85,2.98,101.2603,101.2986,3,30
7/1/2018,2793.643333,20749.752,21022.109,272.357,70.98142857,24978.23143,1238.525,133.0352381,312.5620338,2.67,2.96,3.08,101.3166,101.2683,3,24
8/1/2018,2857.820435,20799.10267,21064.88033,265.7776667,68.05565217,25629.98826,1201.245455,128.5486957,316.6588042,2.62,2.86,3.02,101.4102,101.2791,13,14
9/1/2018,2901.500526,20848.45333,21107.65167,259.1983333,70.23210526,26232.66789,1198.4725,124.3873684,306.4327886,2.81,3.05,3.19,101.3276,101.3592,6,11
